CustomerKey,CustomerID,Country
66,12409,Switzerland
69,12412,Denmark
142,12476,Germany
253,12587,Finland
256,12590,Germany
260,12594,Italy
268,12602,France
325,12658,Germany
341,12674,France
388,12721,France
454,12786,Netherlands
687,13019,United Kingdom
740,13072,United Kingdom
773,13105,United Kingdom
893,13225,United Kingdom
914,13246,United Kingdom
966,13298,United Kingdom
1031,13363,United Kingdom
1075,13407,United Kingdom
1088,13420,United Kingdom
1218,13550,United Kingdom
1224,13556,United Kingdom
1289,13621,United Kingdom
1347,13679,United Kingdom
1378,13710,United Kingdom
1434,13766,United Kingdom
1438,13770,United Kingdom
1449,13781,United Kingdom
1484,13816,Germany
1522,13854,United Kingdom
1596,13928,United Kingdom
1599,13931,United Kingdom
1671,14003,United Kingdom
1704,14036,United Kingdom
1708,14040,United Kingdom
1712,14044,United Kingdom
1820,14152,United Kingdom
1861,14193,United Kingdom
1892,14224,United Kingdom
1920,14252,United Kingdom
1947,14279,United Kingdom
1951,14283,United Kingdom
1988,14320,United Kingdom
2003,14335,Germany
2060,14392,United Kingdom
2167,14499,United Kingdom
2175,14507,United Kingdom
2213,14545,United Kingdom
2237,14569,United Kingdom
2240,14572,United Kingdom
2247,14579,United Kingdom
2299,14631,United Kingdom
2321,14653,United Kingdom
2336,14668,United Kingdom
2490,14822,United Kingdom
2503,14835,United Kingdom
2644,14976,United Kingdom
2734,15066,United Kingdom
2923,15255,United Kingdom
2960,15292,United Kingdom
2963,15295,United Kingdom
3007,15339,United Kingdom
3030,15362,United Kingdom
3046,15378,United Kingdom
3065,15397,United Kingdom
3220,15552,United Kingdom
3332,15664,United Kingdom
3684,16016,United Kingdom
3855,16187,United Kingdom
3918,16250,United Kingdom
3943,16275,United Kingdom
3945,16277,United Kingdom
3990,16322,United Kingdom
4051,16383,United Kingdom
4067,16399,United Kingdom
4076,16408,United Kingdom
4103,16435,United Kingdom
4417,16749,United Kingdom
4443,16775,United Kingdom
4497,16829,United Kingdom
4587,16919,United Kingdom
4633,16965,United Kingdom
4678,17010,United Kingdom
4697,17029,United Kingdom
4723,17055,United Kingdom
4752,17084,United Kingdom
4892,17224,United Kingdom
4899,17231,United Kingdom
4988,17320,United Kingdom
5001,17333,United Kingdom
5046,17378,United Kingdom
5053,17385,United Kingdom
5171,17503,United Kingdom
5285,17617,United Kingdom
5358,17690,United Kingdom
5370,17702,United Kingdom
5400,17732,United Kingdom
5411,17743,United Kingdom
5422,17754,United Kingdom
5633,17965,United Kingdom
5669,18001,United Kingdom
5751,18083,United Kingdom
5759,18091,United Kingdom
5765,18097,United Kingdom
5767,18099,United Kingdom
5802,18134,United Kingdom
5873,18205,United Kingdom
5881,18213,United Kingdom
5892,18224,United Kingdom
5945,18277,United Kingdom
147,12481,Germany
150,12484,Spain
279,12613,Germany
338,12671,Germany
398,12731,France
408,12741,USA
421,12753,Japan
428,12760,Netherlands
480,12812,Japan
502,12834,United Kingdom
531,12863,United Kingdom
582,12914,United Kingdom
608,12940,United Kingdom
638,12970,United Kingdom
659,12991,United Kingdom
667,12999,United Kingdom
745,13077,United Kingdom
870,13202,United Kingdom
912,13244,United Kingdom
926,13258,United Kingdom
968,13300,United Kingdom
1002,13334,United Kingdom
1009,13341,United Kingdom
1021,13353,United Kingdom
1029,13361,United Kingdom
1055,13387,United Kingdom
1096,13428,United Kingdom
1189,13521,United Kingdom
1363,13695,United Kingdom
1368,13700,United Kingdom
1385,13717,United Kingdom
1407,13739,United Kingdom
1453,13785,United Kingdom
1663,13995,United Kingdom
1667,13999,United Kingdom
1696,14028,United Kingdom
1754,14086,United Kingdom
1775,14107,United Kingdom
1787,14119,United Kingdom
1816,14148,United Kingdom
1872,14204,United Kingdom
2086,14418,United Kingdom
2096,14428,United Kingdom
2108,14440,United Kingdom
2129,14461,United Kingdom
2207,14539,United Kingdom
2212,14544,United Kingdom
2234,14566,Channel Islands
2310,14642,United Kingdom
2313,14645,United Kingdom
2346,14678,United Kingdom
2355,14687,United Kingdom
2518,14850,United Kingdom
2534,14866,United Kingdom
2612,14944,United Kingdom
2641,14973,United Kingdom
2645,14977,United Kingdom
2806,15138,United Kingdom
2840,15172,United Kingdom
2841,15173,United Kingdom
2860,15192,United Kingdom
2872,15204,United Kingdom
2890,15222,United Kingdom
3041,15373,United Kingdom
3088,15420,United Kingdom
3137,15469,United Kingdom
3192,15524,United Kingdom
3221,15553,United Kingdom
3345,15677,United Kingdom
3395,15727,United Kingdom
3401,15733,United Kingdom
3416,15748,United Kingdom
3477,15809,United Kingdom
3507,15839,United Kingdom
3893,16225,United Kingdom
3909,16241,United Kingdom
3932,16264,United Kingdom
3949,16281,United Kingdom
3957,16289,United Kingdom
4104,16436,United Kingdom
4106,16438,United Kingdom
4145,16477,United Kingdom
4166,16498,United Kingdom
4277,16609,United Kingdom
4295,16627,United Kingdom
4304,16636,United Kingdom
4305,16637,United Kingdom
4367,16699,United Kingdom
4412,16744,United Kingdom
4420,16752,United Kingdom
4442,16774,United Kingdom
4492,16824,United Kingdom
4493,16825,United Kingdom
4541,16873,United Kingdom
4650,16982,United Kingdom
4681,17013,United Kingdom
4777,17109,United Kingdom
4850,17182,United Kingdom
4854,17186,United Kingdom
4875,17207,United Kingdom
4929,17261,United Kingdom
4947,17279,United Kingdom
4973,17305,United Kingdom
5246,17578,United Kingdom
5303,17635,United Kingdom
5402,17734,United Kingdom
5430,17762,United Kingdom
5463,17795,United Kingdom
5523,17855,United Kingdom
5530,17862,United Kingdom
5541,17873,United Kingdom
5545,17877,United Kingdom
5577,17909,United Kingdom
5609,17941,United Kingdom
5701,18033,United Kingdom
5710,18042,United Kingdom
5752,18084,United Kingdom
5790,18122,United Kingdom
5795,18127,United Kingdom
5829,18161,United Kingdom
5836,18168,United Kingdom
5882,18214,United Kingdom
5890,18222,United Kingdom
5905,18237,United Kingdom
5949,18281,United Kingdom
27,12371,Switzerland
36,12380,Belgium
62,12405,Finland
65,12408,Belgium
99,12436,Norway
246,12580,Germany
381,12714,France
413,12745,United Kingdom
472,12804,Netherlands
514,12846,United Kingdom
649,12981,United Kingdom
756,13088,United Kingdom
786,13118,United Kingdom
829,13161,United Kingdom
922,13254,United Kingdom
954,13286,United Kingdom
975,13307,United Kingdom
1041,13373,United Kingdom
1083,13415,United Kingdom
1154,13486,United Kingdom
1160,13492,Switzerland
1234,13566,United Kingdom
1276,13608,United Kingdom
1315,13647,United Kingdom
1326,13658,United Kingdom
1423,13755,United Kingdom
1440,13772,United Kingdom
1531,13863,United Kingdom
1540,13872,United Kingdom
1552,13884,United Kingdom
1558,13890,United Kingdom
