DateKey,InvoiceDate,order_year,order_quarter,order_month,order_month_name,order_week,order_day,order_day_name,order_hour
5,12/1/2009 9:24:00,2009,4,12,December,48,1,Tuesday,9
15,12/1/2009 10:18:00,2009,4,12,December,48,1,Tuesday,10
312,12/3/2009 14:00:00,2009,4,12,December,48,3,Thursday,14
367,12/3/2009 18:30:00,2009,4,12,December,48,3,Thursday,18
396,12/4/2009 11:22:00,2009,4,12,December,48,4,Friday,11
424,12/4/2009 13:23:00,2009,4,12,December,48,4,Friday,13
449,12/4/2009 15:30:00,2009,4,12,December,48,4,Friday,15
469,12/4/2009 17:31:00,2009,4,12,December,48,4,Friday,17
471,12/5/2009 10:25:00,2009,4,12,December,48,5,Saturday,10
534,12/6/2009 13:05:00,2009,4,12,December,49,6,Sunday,13
554,12/6/2009 14:12:00,2009,4,12,December,49,6,Sunday,14
575,12/6/2009 15:48:00,2009,4,12,December,49,6,Sunday,15
630,12/7/2009 13:17:00,2009,4,12,December,49,7,Monday,13
708,12/8/2009 11:27:00,2009,4,12,December,49,8,Tuesday,11
719,12/8/2009 12:25:00,2009,4,12,December,49,8,Tuesday,12
721,12/8/2009 12:29:00,2009,4,12,December,49,8,Tuesday,12
733,12/8/2009 12:58:00,2009,4,12,December,49,8,Tuesday,12
800,12/8/2009 17:30:00,2009,4,12,December,49,8,Tuesday,17
831,12/9/2009 8:58:00,2009,4,12,December,49,9,Wednesday,8
856,12/9/2009 12:18:00,2009,4,12,December,49,9,Wednesday,12
935,12/10/2009 10:47:00,2009,4,12,December,49,10,Thursday,10
984,12/10/2009 15:27:00,2009,4,12,December,49,10,Thursday,15
1003,12/10/2009 17:04:00,2009,4,12,December,49,10,Thursday,17
1106,12/11/2009 13:49:00,2009,4,12,December,49,11,Friday,13
1192,12/13/2009 15:16:00,2009,4,12,December,50,13,Sunday,15
1237,12/14/2009 12:37:00,2009,4,12,December,50,14,Monday,12
1261,12/14/2009 14:13:00,2009,4,12,December,50,14,Monday,14
1318,12/15/2009 10:21:00,2009,4,12,December,50,15,Tuesday,10
1327,12/15/2009 11:26:00,2009,4,12,December,50,15,Tuesday,11
1500,12/17/2009 10:08:00,2009,4,12,December,50,17,Thursday,10
1507,12/17/2009 10:52:00,2009,4,12,December,50,17,Thursday,10
1512,12/17/2009 11:07:00,2009,4,12,December,50,17,Thursday,11
1534,12/17/2009 12:46:00,2009,4,12,December,50,17,Thursday,12
1546,12/17/2009 13:38:00,2009,4,12,December,50,17,Thursday,13
1848,12/22/2009 15:12:00,2009,4,12,December,51,22,Tuesday,15
1996,1/7/2010 11:53:00,2010,1,1,January,1,7,Thursday,11
2061,1/8/2010 10:08:00,2010,1,1,January,1,8,Friday,10
2126,1/10/2010 14:02:00,2010,1,1,January,2,10,Sunday,14
2262,1/13/2010 14:59:00,2010,1,1,January,2,13,Wednesday,14
2305,1/14/2010 12:15:00,2010,1,1,January,2,14,Thursday,12
2325,1/14/2010 14:29:00,2010,1,1,January,2,14,Thursday,14
2333,1/14/2010 15:24:00,2010,1,1,January,2,14,Thursday,15
2345,1/14/2010 17:21:00,2010,1,1,January,2,14,Thursday,17
2350,1/14/2010 17:59:00,2010,1,1,January,2,14,Thursday,17
2401,1/15/2010 15:40:00,2010,1,1,January,2,15,Friday,15
2422,1/17/2010 12:28:00,2010,1,1,January,3,17,Sunday,12
2437,1/17/2010 14:50:00,2010,1,1,January,3,17,Sunday,14
2517,1/19/2010 13:09:00,2010,1,1,January,3,19,Tuesday,13
2539,1/19/2010 17:49:00,2010,1,1,January,3,19,Tuesday,17
2586,1/20/2010 14:03:00,2010,1,1,January,3,20,Wednesday,14
2773,1/25/2010 10:26:00,2010,1,1,January,4,25,Monday,10
2848,1/26/2010 12:29:00,2010,1,1,January,4,26,Tuesday,12
2871,1/26/2010 14:44:00,2010,1,1,January,4,26,Tuesday,14
3080,1/29/2010 10:51:00,2010,1,1,January,4,29,Friday,10
3100,1/29/2010 12:39:00,2010,1,1,January,4,29,Friday,12
3149,1/31/2010 11:38:00,2010,1,1,January,5,31,Sunday,11
3267,2/2/2010 8:57:00,2010,1,2,February,5,2,Tuesday,8
3286,2/2/2010 12:47:00,2010,1,2,February,5,2,Tuesday,12
3290,2/2/2010 13:33:00,2010,1,2,February,5,2,Tuesday,13
3331,2/3/2010 10:35:00,2010,1,2,February,5,3,Wednesday,10
3386,2/4/2010 12:22:00,2010,1,2,February,5,4,Thursday,12
3426,2/4/2010 18:39:00,2010,1,2,February,5,4,Thursday,18
3427,2/4/2010 19:24:00,2010,1,2,February,5,4,Thursday,19
3481,2/5/2010 15:56:00,2010,1,2,February,5,5,Friday,15
3548,2/8/2010 12:24:00,2010,1,2,February,6,8,Monday,12
3567,2/8/2010 14:01:00,2010,1,2,February,6,8,Monday,14
3627,2/9/2010 13:18:00,2010,1,2,February,6,9,Tuesday,13
3659,2/10/2010 11:34:00,2010,1,2,February,6,10,Wednesday,11
3660,2/10/2010 11:46:00,2010,1,2,February,6,10,Wednesday,11
3667,2/10/2010 13:04:00,2010,1,2,February,6,10,Wednesday,13
3774,2/12/2010 15:27:00,2010,1,2,February,6,12,Friday,15
3804,2/14/2010 12:52:00,2010,1,2,February,7,14,Sunday,12
3894,2/16/2010 12:13:00,2010,1,2,February,7,16,Tuesday,12
3911,2/16/2010 13:39:00,2010,1,2,February,7,16,Tuesday,13
3948,2/17/2010 10:24:00,2010,1,2,February,7,17,Wednesday,10
3974,2/17/2010 14:09:00,2010,1,2,February,7,17,Wednesday,14
3992,2/17/2010 16:55:00,2010,1,2,February,7,17,Wednesday,16
3995,2/18/2010 8:57:00,2010,1,2,February,7,18,Thursday,8
4044,2/18/2010 14:48:00,2010,1,2,February,7,18,Thursday,14
4202,2/22/2010 12:44:00,2010,1,2,February,8,22,Monday,12
4247,2/23/2010 11:14:00,2010,1,2,February,8,23,Tuesday,11
4256,2/23/2010 11:49:00,2010,1,2,February,8,23,Tuesday,11
4261,2/23/2010 12:16:00,2010,1,2,February,8,23,Tuesday,12
4392,2/25/2010 13:40:00,2010,1,2,February,8,25,Thursday,13
4401,2/25/2010 15:13:00,2010,1,2,February,8,25,Thursday,15
4578,3/1/2010 13:41:00,2010,1,3,March,9,1,Monday,13
4615,3/2/2010 11:46:00,2010,1,3,March,9,2,Tuesday,11
4621,3/2/2010 12:20:00,2010,1,3,March,9,2,Tuesday,12
4623,3/2/2010 12:29:00,2010,1,3,March,9,2,Tuesday,12
4645,3/2/2010 14:48:00,2010,1,3,March,9,2,Tuesday,14
4794,3/4/2010 12:41:00,2010,1,3,March,9,4,Thursday,12
4803,3/4/2010 14:05:00,2010,1,3,March,9,4,Thursday,14
4906,3/5/2010 16:39:00,2010,1,3,March,9,5,Friday,16
5047,3/9/2010 7:35:00,2010,1,3,March,10,9,Tuesday,7
5107,3/9/2010 15:56:00,2010,1,3,March,10,9,Tuesday,15
5128,3/10/2010 10:33:00,2010,1,3,March,10,10,Wednesday,10
5199,3/11/2010 10:52:00,2010,1,3,March,10,11,Thursday,10
5252,3/12/2010 10:41:00,2010,1,3,March,10,12,Friday,10
5268,3/12/2010 14:31:00,2010,1,3,March,10,12,Friday,14
5283,3/14/2010 10:33:00,2010,1,3,March,11,14,Sunday,10
5356,3/15/2010 15:33:00,2010,1,3,March,11,15,Monday,15
5455,3/16/2010 16:18:00,2010,1,3,March,11,16,Tuesday,16
5464,3/17/2010 9:43:00,2010,1,3,March,11,17,Wednesday,9
5496,3/17/2010 14:55:00,2010,1,3,March,11,17,Wednesday,14
5559,3/18/2010 13:08:00,2010,1,3,March,11,18,Thursday,13
5601,3/19/2010 9:25:00,2010,1,3,March,11,19,Friday,9
5699,3/21/2010 12:26:00,2010,1,3,March,12,21,Sunday,12
5797,3/22/2010 15:45:00,2010,1,3,March,12,22,Monday,15
5813,3/22/2010 18:00:00,2010,1,3,March,12,22,Monday,18
5815,3/23/2010 8:55:00,2010,1,3,March,12,23,Tuesday,8
5821,3/23/2010 9:57:00,2010,1,3,March,12,23,Tuesday,9
5869,3/23/2010 15:10:00,2010,1,3,March,12,23,Tuesday,15
5876,3/23/2010 15:28:00,2010,1,3,March,12,23,Tuesday,15
5889,3/23/2010 16:39:00,2010,1,3,March,12,23,Tuesday,16
5929,3/24/2010 10:30:00,2010,1,3,March,12,24,Wednesday,10
5975,3/24/2010 14:14:00,2010,1,3,March,12,24,Wednesday,14
6011,3/25/2010 11:32:00,2010,1,3,March,12,25,Thursday,11
6037,3/25/2010 13:49:00,2010,1,3,March,12,25,Thursday,13
6052,3/25/2010 15:11:00,2010,1,3,March,12,25,Thursday,15
6054,3/25/2010 15:17:00,2010,1,3,March,12,25,Thursday,15
6083,3/26/2010 9:10:00,2010,1,3,March,12,26,Friday,9
6132,3/26/2010 14:11:00,2010,1,3,March,12,26,Friday,14
6155,3/28/2010 10:33:00,2010,1,3,March,13,28,Sunday,10
6213,3/29/2010 10:08:00,2010,1,3,March,13,29,Monday,10
6214,3/29/2010 10:10:00,2010,1,3,March,13,29,Monday,10
6263,3/29/2010 14:54:00,2010,1,3,March,13,29,Monday,14
6351,3/30/2010 15:38:00,2010,1,3,March,13,30,Tuesday,15
6414,3/31/2010 12:19:00,2010,1,3,March,13,31,Wednesday,12
6441,3/31/2010 14:20:00,2010,1,3,March,13,31,Wednesday,14
6467,4/1/2010 9:50:00,2010,2,4,April,13,1,Thursday,9
6473,4/1/2010 10:33:00,2010,2,4,April,13,1,Thursday,10
6504,4/1/2010 14:04:00,2010,2,4,April,13,1,Thursday,14
6551,4/6/2010 9:58:00,2010,2,4,April,14,6,Tuesday,9
6644,4/7/2010 14:59:00,2010,2,4,April,14,7,Wednesday,14
6645,4/7/2010 15:02:00,2010,2,4,April,14,7,Wednesday,15
6653,4/7/2010 16:11:00,2010,2,4,April,14,7,Wednesday,16
6689,4/8/2010 12:09:00,2010,2,4,April,14,8,Thursday,12
6747,4/9/2010 9:54:00,2010,2,4,April,14,9,Friday,9
6788,4/9/2010 16:05:00,2010,2,4,April,14,9,Friday,16
6800,4/11/2010 11:17:00,2010,2,4,April,15,11,Sunday,11
6930,4/13/2010 11:03:00,2010,2,4,April,15,13,Tuesday,11
7031,4/14/2010 14:02:00,2010,2,4,April,15,14,Wednesday,14
7099,4/15/2010 15:26:00,2010,2,4,April,15,15,Thursday,15
7109,4/15/2010 16:03:00,2010,2,4,April,15,15,Thursday,16
7138,4/16/2010 10:03:00,2010,2,4,April,15,16,Friday,10
7139,4/16/2010 10:16:00,2010,2,4,April,15,16,Friday,10
7159,4/16/2010 13:17:00,2010,2,4,April,15,16,Friday,13
7246,4/19/2010 10:53:00,2010,2,4,April,16,19,Monday,10
7332,4/20/2010 12:01:00,2010,2,4,April,16,20,Tuesday,12
7431,4/21/2010 15:42:00,2010,2,4,April,16,21,Wednesday,15
7472,4/22/2010 10:27:00,2010,2,4,April,16,22,Thursday,10
7492,4/22/2010 11:51:00,2010,2,4,April,16,22,Thursday,11
7512,4/22/2010 13:21:00,2010,2,4,April,16,22,Thursday,13
7583,4/23/2010 11:44:00,2010,2,4,April,16,23,Friday,11
7645,4/25/2010 13:28:00,2010,2,4,April,17,25,Sunday,13
7655,4/25/2010 14:19:00,2010,2,4,April,17,25,Sunday,14
7700,4/26/2010 11:15:00,2010,2,4,April,17,26,Monday,11
7770,4/27/2010 9:44:00,2010,2,4,April,17,27,Tuesday,9
7831,4/27/2010 16:15:00,2010,2,4,April,17,27,Tuesday,16
7930,4/29/2010 10:11:00,2010,2,4,April,17,29,Thursday,10
7933,4/29/2010 10:24:00,2010,2,4,April,17,29,Thursday,10
7997,4/29/2010 16:28:00,2010,2,4,April,17,29,Thursday,16
8034,4/30/2010 10:29:00,2010,2,4,April,17,30,Friday,10
8050,4/30/2010 11:06:00,2010,2,4,April,17,30,Friday,11
8142,5/4/2010 9:15:00,2010,2,5,May,18,4,Tuesday,9
8178,5/4/2010 12:51:00,2010,2,5,May,18,4,Tuesday,12
8187,5/4/2010 13:39:00,2010,2,5,May,18,4,Tuesday,13
8454,5/7/2010 12:56:00,2010,2,5,May,18,7,Friday,12
8462,5/7/2010 13:57:00,2010,2,5,May,18,7,Friday,13
8471,5/7/2010 14:47:00,2010,2,5,May,18,7,Friday,14
8625,5/10/2010 15:08:00,2010,2,5,May,19,10,Monday,15
8715,5/12/2010 9:24:00,2010,2,5,May,19,12,Wednesday,9
8732,5/12/2010 11:55:00,2010,2,5,May,19,12,Wednesday,11
8736,5/12/2010 12:20:00,2010,2,5,May,19,12,Wednesday,12
8816,5/13/2010 13:11:00,2010,2,5,May,19,13,Thursday,13
8913,5/14/2010 14:34:00,2010,2,5,May,19,14,Friday,14
8916,5/14/2010 14:46:00,2010,2,5,May,19,14,Friday,14
9032,5/17/2010 15:18:00,2010,2,5,May,20,17,Monday,15
9047,5/17/2010 17:01:00,2010,2,5,May,20,17,Monday,17
9163,5/19/2010 12:16:00,2010,2,5,May,20,19,Wednesday,12
9182,5/19/2010 14:23:00,2010,2,5,May,20,19,Wednesday,14
9187,5/19/2010 15:10:00,2010,2,5,May,20,19,Wednesday,15
9248,5/20/2010 13:56:00,2010,2,5,May,20,20,Thursday,13
9316,5/21/2010 12:31:00,2010,2,5,May,20,21,Friday,12
9367,5/23/2010 11:54:00,2010,2,5,May,21,23,Sunday,11
9553,5/26/2010 9:24:00,2010,2,5,May,21,26,Wednesday,9
9568,5/26/2010 10:48:00,2010,2,5,May,21,26,Wednesday,10
9652,5/27/2010 10:48:00,2010,2,5,May,21,27,Thursday,10
9680,5/27/2010 12:34:00,2010,2,5,May,21,27,Thursday,12
9720,5/27/2010 18:19:00,2010,2,5,May,21,27,Thursday,18
9748,5/28/2010 8:39:00,2010,2,5,May,21,28,Friday,8
9762,5/28/2010 10:04:00,2010,2,5,May,21,28,Friday,10
9789,5/28/2010 12:57:00,2010,2,5,May,21,28,Friday,12
9905,6/2/2010 10:31:00,2010,2,6,June,22,2,Wednesday,10
9921,6/2/2010 13:25:00,2010,2,6,June,22,2,Wednesday,13
9962,6/3/2010 11:35:00,2010,2,6,June,22,3,Thursday,11
10144,6/6/2010 13:48:00,2010,2,6,June,23,6,Sunday,13
10195,6/7/2010 11:38:00,2010,2,6,June,23,7,Monday,11
10222,6/7/2010 13:00:00,2010,2,6,June,23,7,Monday,13
10266,6/7/2010 17:12:00,2010,2,6,June,23,7,Monday,17
10280,6/8/2010 10:44:00,2010,2,6,June,23,8,Tuesday,10
10296,6/8/2010 12:12:00,2010,2,6,June,23,8,Tuesday,12
10396,6/9/2010 13:08:00,2010,2,6,June,23,9,Wednesday,13
10452,6/10/2010 11:17:00,2010,2,6,June,23,10,Thursday,11
10459,6/10/2010 12:15:00,2010,2,6,June,23,10,Thursday,12
10503,6/10/2010 16:21:00,2010,2,6,June,23,10,Thursday,16
10526,6/10/2010 19:07:00,2010,2,6,June,23,10,Thursday,19
10532,6/11/2010 8:41:00,2010,2,6,June,23,11,Friday,8
10569,6/11/2010 12:36:00,2010,2,6,June,23,11,Friday,12
10570,6/11/2010 12:45:00,2010,2,6,June,23,11,Friday,12
10571,6/11/2010 12:54:00,2010,2,6,June,23,11,Friday,12
10579,6/11/2010 13:28:00,2010,2,6,June,23,11,Friday,13
10592,6/11/2010 14:56:00,2010,2,6,June,23,11,Friday,14
10676,6/13/2010 14:53:00,2010,2,6,June,24,13,Sunday,14
10686,6/13/2010 16:10:00,2010,2,6,June,24,13,Sunday,16
10719,6/14/2010 13:31:00,2010,2,6,June,24,14,Monday,13
10782,6/15/2010 12:54:00,2010,2,6,June,24,15,Tuesday,12
10805,6/15/2010 15:03:00,2010,2,6,June,24,15,Tuesday,15
10807,6/15/2010 15:20:00,2010,2,6,June,24,15,Tuesday,15
10867,6/16/2010 13:22:00,2010,2,6,June,24,16,Wednesday,13
10878,6/16/2010 14:26:00,2010,2,6,June,24,16,Wednesday,14
10950,6/17/2010 14:04:00,2010,2,6,June,24,17,Thursday,14
10992,6/17/2010 19:28:00,2010,2,6,June,24,17,Thursday,19
11024,6/18/2010 12:46:00,2010,2,6,June,24,18,Friday,12
11116,6/22/2010 9:04:00,2010,2,6,June,25,22,Tuesday,9
11188,6/23/2010 12:49:00,2010,2,6,June,25,23,Wednesday,12
11208,6/23/2010 15:40:00,2010,2,6,June,25,23,Wednesday,15
11227,6/24/2010 9:29:00,2010,2,6,June,25,24,Thursday,9
11280,6/24/2010 13:42:00,2010,2,6,June,25,24,Thursday,13
11373,6/27/2010 10:54:00,2010,2,6,June,26,27,Sunday,10
11388,6/27/2010 12:07:00,2010,2,6,June,26,27,Sunday,12
