CustomerKey,DateKey,ProductKey,Invoice,Quantity,UnitPrice,Revenue,is_cancelled
,2329,,C494472,-1,69.56,-69.56,Yes
,44345,,581217,1,8.33,8.33,No
,33365,,558614,1,8.33,8.33,No
,36428,,564760,1,8.33,8.33,No
,5443,,501441,1,8.51,8.51,No
,9911,,510637,1,8.51,8.51,No
,1707,,492782,1,8.69,8.69,No
,26206,,544089,1,16.67,16.67,No
,35223,,562420,1,16.67,16.67,No
,29413,,550542,1,16.67,16.67,No
,4078,,498443,1,17.02,17.02,No
,12284,,515439,1,17.02,17.02,No
,6709,,503940,1,17.02,17.02,No
,8766,,508077,1,17.02,17.02,No
,1881,,493404,1,17.39,17.39,No
,26326,,544323,1,25,25,No
,35500,,562933,1,25,25,No
,36619,,565231,1,25,25,No
,36428,,564760,1,25,25,No
,6211,,502872,1,25.53,25.53,No
,8377,,507177,1,25.53,25.53,No
,16186,,523150,1,25.53,25.53,No
,9813,,510410,1,25.53,25.53,No
,17802,,526151,1,25.53,25.53,No
,24368,,540238,1,25.53,25.53,No
,2282,,494381,1,25.53,25.53,No
,18569,,527520,1,25.53,25.53,No
,1881,,493404,1,26.08,26.08,No
,28615,,548893,1,33.33,33.33,No
,34789,,561513,1,33.33,33.33,No
,24085,,539492,1,34.04,34.04,No
,30173,,552232,1,41.67,41.67,No
,24261,,539958,1,42.55,42.55,No
,17604,,525755,1,42.55,42.55,No
,10693,,512168,1,59.57,59.57,No
,1303,,491969,1,69.56,69.56,No
,35086,,562113,1,83.33,83.33,No
2563,12903,2,C516712,-4,29.95,-119.8,Yes
2275,40100,2,C572334,-100,0.72,-72,Yes
2275,40100,2,C572334,-100,0.72,-72,Yes
2275,40100,2,C572334,-100,0.72,-72,Yes
1459,40445,2,C573092,-76,0.72,-54.72,Yes
2314,21923,2,C534845,-8,6.35,-50.8,Yes
5509,13663,2,C518066,-49,0.85,-41.65,Yes
2348,38389,2,C568879,-50,0.72,-36,Yes
176,3323,2,C496621,-20,1.65,-33,Yes
